,bid,ask
1459889856.289806,420.53,420.54
1459889857.293848,420.53,420.54
1459889858.298991,420.53,420.54
1459889859.299966,420.53,420.54
1459889860.300152,420.53,420.54
1459889861.300952,420.53,420.54
1459889862.302351,420.53,420.54
1459889863.304169,420.53,420.54
1459889864.305175,420.53,420.54
1459889865.305813,420.53,420.54
1459889866.306793,420.53,420.54
1459889867.308128,420.53,420.54
1459889868.311636,420.53,420.54
1459889869.314229,420.53,420.54
1459889870.318231,420.53,420.54
1459889871.319225,420.53,420.54
1459889872.320205,420.53,420.54
1459889873.320802,420.53,420.54
1459889874.322153,420.53,420.54
1459889875.322287,420.53,420.54
1459889876.324053,420.53,420.54
1459889877.329011,420.53,420.54
1459889878.332125,420.53,420.54
1459889879.332372,420.53,420.54
1459889880.336874,420.53,420.54
1459889881.336931,420.52,420.54
1459889882.339867,420.52,420.53
1459889883.343024,420.52,420.53
1459889884.346159,420.52,420.53
1459889885.346296,420.52,420.53
1459889886.34936,420.52,420.53
1459889887.350482,420.52,420.53
1459889888.350884,420.52,420.53
1459889889.35179,420.52,420.53
1459889890.355364,420.52,420.53
1459889891.359715,420.52,420.53
1459889892.364897,420.52,420.53
1459889893.366401,420.52,420.53
1459889894.366611,420.52,420.53
1459889895.366761,420.52,420.53
1459889896.369252,420.52,420.53
1459889897.373185,420.52,420.53
1459889898.375721,420.52,420.53
1459889899.376541,420.52,420.53
1459889900.378043,420.52,420.53
1459889901.378274,420.52,420.54
1459889902.380399,420.52,420.54
1459889903.381685,420.52,420.54
1459889904.381894,420.52,420.54
1459889905.382301,420.52,420.54
1459889906.386933,420.52,420.54
1459889907.389283,420.52,420.54
1459889908.390781,420.52,420.54
1459889909.392112,420.52,420.54
